Route_Number,Reason,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
P518,Other,09/13/2016 02:30:00 PM,,ACME BUS CORP. (B2321),20mins,2,Running Late
L785,Heavy Traffic,09/14/2016 07:51:00 AM,,"RELIANT TRANS, INC. (B232",20 MIN,2,Running Late
L723,Heavy Traffic,07/01/2016 7:49,,"RELIANT TRANS, INC.",15MINS,3,Running Late
X345,Heavy Traffic,07/05/2016 6:42,Bronx,VAN TRANS LLC,20 mins,1,Running Late
X355,Heavy Traffic,07/05/2016 6:44,Bronx,VAN TRANS LLC,15 mins,2,Running Late
W781,Heavy Traffic,07/05/2016 6:50,Westchester,HOYT TRANSPORTATION CORP.,15 MINTUES,1,Running Late
K413,Other,07/05/2016 6:50,Brooklyn,"BORO TRANSIT, INC.",25min,1,Running Late
M696,Problem Run,07/05/2016 7:15,Manhattan,HOYT TRANSPORTATION CORP.,15 MINTUES,2,Running Late
M625,Problem Run,07/05/2016 7:15,Manhattan,HOYT TRANSPORTATION CORP.,20 MINTUES,2,Running Late
M651,Problem Run,07/05/2016 7:20,Manhattan,HOYT TRANSPORTATION CORP.,20 MINTUES,2,Running Late
W956,Other,07/05/2016 7:27,Westchester,"RELIANT TRANS, INC.",15MINS,2,Running Late
M658,Problem Run,07/05/2016 7:30,Manhattan,HOYT TRANSPORTATION CORP.,20 MINTUES,4,Running Late
X493,Heavy Traffic,07/05/2016 7:46,Bronx,PRIDE TRANSPORTATION (SCH,3 mins,3,Running Late
M684,Problem Run,07/05/2016 7:32,Manhattan,HOYT TRANSPORTATION CORP.,20 MINTUES,4,Running Late
W954,Heavy Traffic,07/05/2016 7:53,Westchester,"RELIANT TRANS, INC.",20 minutes,3,Running Late
M704,Problem Run,07/05/2016 7:45,Manhattan,HOYT TRANSPORTATION CORP.,20 MINTUS,4,Running Late
L735,Heavy Traffic,07/05/2016 7:56,Brooklyn,"RELIANT TRANS, INC.",20 minutes,3,Running Late
SX951,Heavy Traffic,07/05/2016 7:55,Bronx,PRIDE TRANSPORTATION (SCH AGE),20mins,2,Running Late
Q377,Mechanical Problem,07/05/2016 7:57,Queens,CONSOLIDATED BUS TRANS. I,,3,Breakdown
M714,Problem Run,07/05/2016 7:45,Manhattan,HOYT TRANSPORTATION CORP.,20 MINTUES,4,Running Late
K846,Other,07/05/2016 7:57,Brooklyn,HOYT TRANSPORTATION CORP.,20mns,4,Running Late
L733,Heavy Traffic,07/05/2016 7:58,Bronx,"RELIANT TRANS, INC.",20 minutes,3,Running Late
K516,Heavy Traffic,07/05/2016 8:00,Brooklyn,PRIDE TRANSPORTATION (SCH,20 MIN,4,Running Late
M753,Heavy Traffic,07/05/2016 7:50,Manhattan,HOYT TRANSPORTATION CORP.,20 MINTUES,9,Running Late
M684,Heavy Traffic,07/05/2016 7:55,Manhattan,HOYT TRANSPORTATION CORP.,20 MINTUES,4,Running Late
K587,Mechanical Problem,07/05/2016 8:04,Brooklyn,PRIDE TRANSPORTATION (SCH,30 min,6,Running Late
X930,Heavy Traffic,07/05/2016 8:07,Bronx,PRIDE TRANSPORTATION (SCH,20muin,6,Running Late
M208,Heavy Traffic,07/05/2016 8:17,Manhattan,PRIDE TRANSPORTATION (SCH,20mins,3,Running Late
M763,Heavy Traffic,07/05/2016 8:31,Manhattan,HOYT TRANSPORTATION CORP.,20 Min,5,Running Late
M649,Heavy Traffic,07/05/2016 8:33,Manhattan,HOYT TRANSPORTATION CORP.,10 Min,3,Running Late
W782,Heavy Traffic,07/05/2016 8:20,Westchester,HOYT TRANSPORTATION CORP.,10 MINTUES,6,Running Late
L735,Heavy Traffic,07/06/2016 7:27,,"RELIANT TRANS, INC.",20 min,3,Running Late
K805,Other,07/06/2016 7:48,Brooklyn,HOYT TRANSPORTATION CORP.,15 min,2,Running Late
W954,Other,07/06/2016 8:01,Westchester,"RELIANT TRANS, INC.",20 minutes,3,Running Late
M208,Heavy Traffic,07/06/2016 8:17,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,7,Running Late
