Route_Number,Reason,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
P518,Other,14 O'Clock,Others,ACME BUS CORP. ,20 MIN,2,Running Late
L785,Heavy Traffic,07 O'Clock,Others,"RELIANT TRANS, INC. ",20 MIN,2,Running Late
L723,Heavy Traffic,07 O'Clock,Others,"RELIANT TRANS, INC.",15 MIN,3,Running Late
X345,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC,20 MIN,1,Running Late
X355,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC,15 MIN,2,Running Late
W781,Heavy Traffic,06 O'Clock,Westchester,HOYT TRANSPORTATION CORP.,15 MIN,1,Running Late
K413,Other,06 O'Clock,Brooklyn,"BORO TRANSIT, INC.",25 MIN,1,Running Late
M696,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
M625,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
M651,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
W956,Other,07 O'Clock,Westchester,"RELIANT TRANS, INC.",15 MIN,2,Running Late
M658,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
X493,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,3 MIN,3,Running Late
M684,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
W954,Heavy Traffic,07 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,3,Running Late
M704,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
L735,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC.",20 MIN,3,Running Late
SX951,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,20 MIN,2,Running Late
Q377,Mechanical Problem,07 O'Clock,Queens,CONSOLIDATED BUS TRANS. I,-1,3,Breakdown
M714,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
K846,Other,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
L733,Heavy Traffic,07 O'Clock,Bronx,"RELIANT TRANS, INC.",20 MIN,3,Running Late
K516,Heavy Traffic,08 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,20 MIN,4,Running Late
M753,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,9,Running Late
M684,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
K587,Mechanical Problem,08 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,30 MIN,6,Running Late
X930,Heavy Traffic,08 O'Clock,Bronx,PRIDE TRANSPORTATION ,20 MIN,6,Running Late
M208,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,3,Running Late
M763,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
M649,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,3,Running Late
W782,Heavy Traffic,08 O'Clock,Westchester,HOYT TRANSPORTATION CORP.,10 MIN,6,Running Late
L735,Heavy Traffic,07 O'Clock,Others,"RELIANT TRANS, INC.",20 MIN,3,Running Late
K805,Other,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
W954,Other,08 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,3,Running Late
M208,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,7,Running Late
U904,Heavy Traffic,08 O'Clock,Rockland County,"RELIANT TRANS, INC.",25 MIN,2,Running Late
