Route_Number,Reason,Schools_Serviced,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
L723,Heavy Traffic,18002,07 O'Clock,Others,"RELIANT TRANS, INC.",15 MIN,3,Running Late
X345,Heavy Traffic,8101,06 O'Clock,Bronx,VAN TRANS LLC,20 MIN,1,Running Late
X355,Heavy Traffic,8101,06 O'Clock,Bronx,VAN TRANS LLC,15 MIN,2,Running Late
W781,Heavy Traffic,75442,06 O'Clock,Westchester,HOYT TRANSPORTATION CORP.,15 MIN,1,Running Late
K413,Other,19464,06 O'Clock,Brooklyn,"BORO TRANSIT, INC.",25 MIN,1,Running Late
M696,Problem Run,2035,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
M625,Problem Run,2930,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
M651,Problem Run,3417,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
W956,Other,75908,07 O'Clock,Westchester,"RELIANT TRANS, INC.",15 MIN,2,Running Late
M658,Problem Run,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
X493,Heavy Traffic,11688,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,3 MIN,3,Running Late
M684,Problem Run,2654,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
W954,Heavy Traffic,75908,07 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,3,Running Late
Q377,Mechanical Problem,26179,07 O'Clock,Queens,CONSOLIDATED BUS TRANS. I,-1,3,Breakdown
M714,Problem Run,1465,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
K846,Other,23396,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
L733,Heavy Traffic,17862,07 O'Clock,Bronx,"RELIANT TRANS, INC.",20 MIN,3,Running Late
K516,Heavy Traffic,20915,08 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,20 MIN,4,Running Late
M753,Heavy Traffic,3480,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,9,Running Late
M684,Heavy Traffic,2654,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
X930,Heavy Traffic,10176,08 O'Clock,Bronx,PRIDE TRANSPORTATION ,20 MIN,6,Running Late
M763,Heavy Traffic,2035,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
M649,Heavy Traffic,3417,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,3,Running Late
W782,Heavy Traffic,75442,08 O'Clock,Westchester,HOYT TRANSPORTATION CORP.,10 MIN,6,Running Late
L735,Heavy Traffic,17862,07 O'Clock,Others,"RELIANT TRANS, INC.",20 MIN,3,Running Late
K805,Other,20915,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
W954,Other,75908,08 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,3,Running Late
M208,Heavy Traffic,2699,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,7,Running Late
U904,Heavy Traffic,75958,08 O'Clock,Rockland County,"RELIANT TRANS, INC.",25 MIN,2,Running Late
M664,Heavy Traffic,3417,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,5,Running Late
U904,Heavy Traffic,75958,08 O'Clock,Rockland County,"RELIANT TRANS, INC.",-1,3,Running Late
L515,Heavy Traffic,20685,08 O'Clock,Brooklyn,"RELIANT TRANS, INC.",25 MIN,4,Running Late
M657,Heavy Traffic,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
M625,Heavy Traffic,2930,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
M423,Heavy Traffic,5079,07 O'Clock,Manhattan,"BORO TRANSIT, INC.",25-30 MIN,2,Running Late
X352,Heavy Traffic,8468,07 O'Clock,Bronx,"BORO TRANSIT, INC.",25-30 MIN,2,Running Late
M730,Heavy Traffic,6048,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,5,Running Late
M694,Heavy Traffic,2035,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,3,Running Late
M930,Heavy Traffic,5154,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
M658,Heavy Traffic,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,1,Running Late
